1188,887,893
1184,882,903
1182,886,897
1191,907,916
1179,876,886
1195,890,893
1174,902,897
1169,895,905
1187,891,882
1185,895,881
1179,886,881
1195,889,909
1178,881,887
1175,895,877
1175,899,899
1184,880,897
1201,878,881
1175,879,918
1186,909,911
1199,886,896
1187,912,902
1215,894,903
1213,906,912
1195,911,912
1220,897,910
1189,906,910
1196,907,913
1229,914,914
1263,959,975
1298,1007,975
1374,1107,1057
1463,1193,1095
1469,1186,1104
1460,1198,1123
1454,1220,1125
1462,1203,1102
1415,1158,1087
1501,1234,1154
1520,1280,1152
1523,1290,1187
1528,1285,1185
1535,1298,1152
1535,1296,1168
1530,1281,1173
1520,1299,1187
1535,1296,1168
1535,1302,1166
1535,1317,1197
1535,1311,1173
1535,1292,1183
1527,1328,1193
1535,1307,1195
1561,1308,1169
1561,1297,1198
1531,1297,1173
1555,1311,1200
1568,1296,1177
1535,1301,1186
1554,1311,1197
1556,1318,1195
1554,1313,1198
1535,1327,1180
1535,1310,1197
1535,1322,1191
1574,1323,1200
1535,1296,1196
1553,1328,1181
1557,1327,1169
1535,1305,1183
1569,1323,1199
1558,1311,1179
1535,1325,1186
1535,1328,1190
1535,1306,1189
1568,1325,1171
1556,1311,1200
1562,1309,1197
1535,1293,1185
1566,1313,1168
1559,1306,1185
1535,1307,1174
1535,1302,1189
1535,1327,1172
1559,1300,1173
1535,1307,1170
1567,1298,1200
1535,1326,1186
1570,1311,1179
1554,1323,1190
1535,1296,1181
1559,1301,1199
1535,1315,1201
1558,1325,1202
1535,1314,1174
1561,1301,1178
1563,1307,1186
1569,1301,1171
1571,1307,1206
1555,1323,1177
1562,1325,1179
1559,1308,1187
1553,1328,1199
1535,1302,1175
1573,1313,1193
1535,1325,1185
1565,1303,1200
1567,1311,1200
1535,1296,1201
1535,1326,1180
2416,1967,2034
2481,2017,2112
2484,2059,2107
2470,2060,2127
2483,2029,2129
2469,2061,2109
2482,2047,2128
2496,2031,2134
2475,2055,2131
2476,2064,2126
2485,2066,2128
2480,2067,2125
2480,2047,2134
2492,2061,2130
2493,2054,2128
2470,2064,2129
2467,2062,2128
2490,2047,2124
2493,2064,2112
2496,2073,2135
2463,2062,2129
2460,2047,2122
2467,2055,2137
2455,2044,2128
2479,2053,2113
2485,2032,2101
2454,2046,2115
2463,2039,2111
2482,2047,2112
2451,2054,2102
2481,2059,2112
2453,2026,2097
2473,2028,2094
2466,2037,2096
2463,2038,2110
2469,2042,2087
2448,2039,2086
2480,2019,2086
2455,2019,2112
2419,2036,2096
2444,1999,2045
2414,1997,2017
2421,2016,2060
2448,1998,2085
2447,2025,2070
2423,2031,2064
2411,1991,2074
2448,2018,2071
2372,1965,2032
2384,1977,2007
2377,1969,2013
2375,1980,2027
2433,2023,2081
2439,2019,2093
2455,2014,2097
2455,2023,2094
2455,2017,2096
2439,2029,2069
2448,2035,2087
2470,2044,2112
2463,2042,2103
2475,2021,2108
2482,2046,2102
2471,2043,2113
2453,2027,2096
2452,2054,2125
2477,2041,2097
2475,2016,2101
2427,2020,2098
2421,1997,2059
2418,1997,2064
2401,1991,2039
2425,1995,2071
2415,1979,2057
2433,2000,2064
2413,2004,2071
2427,2000,2046
2421,1987,2079
2423,1990,2071
2423,2010,2079
2422,2019,2037
2430,2007,2077
2433,2007,2087
2427,2015,2102
2451,2039,2111
2450,2037,2099
2363,1894,1962
2309,1783,1930
2309,1820,1917
2346,1855,1951
2321,1861,1946
2324,1856,1910
2307,1841,1933
2307,1840,1925
2304,1834,1904
2317,1830,1937
2317,1856,1979
2301,1861,1951
2304,1881,1942
2306,1899,1939
2326,1876,1964
2327,1881,1955
2325,1885,1962
2313,1891,1974
2320,1886,1971
2315,1894,1959
2331,1879,1970
2320,1882,1964
2327,1883,1938
2315,1891,1974
2309,1898,1962
2334,1877,1942
2323,1886,1948
2320,1874,1942
2317,1883,1968
2322,1895,1967
2306,1894,1966
2313,1873,1966
2312,1875,1936
2327,1887,1949
2327,1898,1968
2304,1885,1947
2300,1867,1942
2325,1891,1950
2311,1867,1961
2304,1858,1955
2299,1841,1954
2294,1840,1974
2320,1865,1959
2309,1840,1939
2320,1858,1952
